"DirectedEdge[16, 16]","DirectedEdge[16, 16]","{4, 4}"
"DirectedEdge[3837, 4903]","DirectedEdge[4903, 3837]","{2, 2}"
"DirectedEdge[3929, 4903]","DirectedEdge[4903, 3929]","{15, 1}"
"DirectedEdge[1262, 5079]","DirectedEdge[5079, 1262]","{1, 1}"
"DirectedEdge[1241, 1681]","DirectedEdge[1681, 1241]","{7, 1}"
"DirectedEdge[1702, 10233]","DirectedEdge[10233, 1702]","{6, 1}"
"DirectedEdge[2492, 407]","DirectedEdge[407, 2492]","{10, 1}"
"DirectedEdge[4230, 4230]","DirectedEdge[4230, 4230]","{5, 5}"
"DirectedEdge[5530, 1350]","DirectedEdge[1350, 5530]","{2, 1}"
"DirectedEdge[5079, 4185]","DirectedEdge[4185, 5079]","{36, 2}"
"DirectedEdge[2532, 469]","DirectedEdge[469, 2532]","{2, 2}"
"DirectedEdge[12322, 1581]","DirectedEdge[1581, 12322]","{1, 1}"
"DirectedEdge[7455, 467]","DirectedEdge[467, 7455]","{5, 1}"
"DirectedEdge[1239, 1634]","DirectedEdge[1634, 1239]","{1, 5}"
"DirectedEdge[720, 3410]","DirectedEdge[3410, 720]","{38, 2}"
"DirectedEdge[1239, 1012]","DirectedEdge[1012, 1239]","{6, 1}"
"DirectedEdge[1059, 1012]","DirectedEdge[1012, 1059]","{6, 1}"
"DirectedEdge[1535, 8097]","DirectedEdge[8097, 1535]","{16, 1}"
"DirectedEdge[982, 8097]","DirectedEdge[8097, 982]","{7, 1}"
"DirectedEdge[1246, 12383]","DirectedEdge[12383, 1246]","{3, 1}"
"DirectedEdge[541, 3792]","DirectedEdge[3792, 541]","{4, 31}"
"DirectedEdge[5722, 1512]","DirectedEdge[1512, 5722]","{109, 21}"
"DirectedEdge[1304, 3108]","DirectedEdge[3108, 1304]","{3, 1}"
"DirectedEdge[488, 927]","DirectedEdge[927, 488]","{10, 1}"
"DirectedEdge[488, 818]","DirectedEdge[818, 488]","{28, 1}"
"DirectedEdge[488, 3194]","DirectedEdge[3194, 488]","{6, 71}"
"DirectedEdge[1651, 13]","DirectedEdge[13, 1651]","{16, 1}"
"DirectedEdge[488, 8097]","DirectedEdge[8097, 488]","{3, 10}"
"DirectedEdge[7272, 5155]","DirectedEdge[5155, 7272]","{16, 1}"
"DirectedEdge[9586, 10889]","DirectedEdge[10889, 9586]","{4, 1}"
"DirectedEdge[4394, 1512]","DirectedEdge[1512, 4394]","{1, 24}"
"DirectedEdge[488, 5766]","DirectedEdge[5766, 488]","{1, 1}"
"DirectedEdge[720, 2491]","DirectedEdge[2491, 720]","{51, 11}"
"DirectedEdge[720, 1143]","DirectedEdge[1143, 720]","{17, 7}"
"DirectedEdge[2, 449]","DirectedEdge[449, 2]","{1, 2}"
"DirectedEdge[784, 2]","DirectedEdge[2, 784]","{11, 2}"
"DirectedEdge[494, 402]","DirectedEdge[402, 494]","{18, 1}"
"DirectedEdge[1012, 402]","DirectedEdge[402, 1012]","{28, 1}"
"DirectedEdge[1296, 2663]","DirectedEdge[2663, 1296]","{1, 1}"
"DirectedEdge[2531, 3840]","DirectedEdge[3840, 2531]","{33, 1}"
"DirectedEdge[4059, 441]","DirectedEdge[441, 4059]","{32, 2}"
"DirectedEdge[8318, 720]","DirectedEdge[720, 8318]","{7, 1}"
"DirectedEdge[6220, 720]","DirectedEdge[720, 6220]","{7, 7}"
"DirectedEdge[8231, 1352]","DirectedEdge[1352, 8231]","{1, 1}"
"DirectedEdge[1841, 1282]","DirectedEdge[1282, 1841]","{22, 1}"
"DirectedEdge[1179, 982]","DirectedEdge[982, 1179]","{56, 6}"
"DirectedEdge[2, 1277]","DirectedEdge[1277, 2]","{4, 1}"
"DirectedEdge[1540, 410]","DirectedEdge[410, 1540]","{5, 3}"
"DirectedEdge[4688, 7609]","DirectedEdge[7609, 4688]","{10, 7}"
"DirectedEdge[720, 438]","DirectedEdge[438, 720]","{77, 1}"
"DirectedEdge[720, 493]","DirectedEdge[493, 720]","{115, 1}"
"DirectedEdge[5260, 457]","DirectedEdge[457, 5260]","{3, 2}"
"DirectedEdge[2568, 6070]","DirectedEdge[6070, 2568]","{15, 1}"
"DirectedEdge[927, 6070]","DirectedEdge[6070, 927]","{1, 1}"
"DirectedEdge[4806, 3795]","DirectedEdge[3795, 4806]","{4, 4}"
"DirectedEdge[720, 4591]","DirectedEdge[4591, 720]","{4, 5}"
"DirectedEdge[13, 4591]","DirectedEdge[4591, 13]","{4, 12}"
"DirectedEdge[133, 1304]","DirectedEdge[1304, 133]","{2, 1}"
"DirectedEdge[592, 1304]","DirectedEdge[1304, 592]","{2, 2}"
"DirectedEdge[8160, 1304]","DirectedEdge[1304, 8160]","{2, 3}"
